question,difficulty,category,date,Question,Answer,Category,Difficulty,paraphrase,question_text,topic,difficulty_clean,difficulty_norm,question_text_clean
"Give an example where indexing strategies would fail, and how you'd detect or fix it. â Variant: Short version: Give an example where indexing strategies would fail, and how you'd detect or fix it.",Medium,Database & SQL,,,,,,"Alternate phrasing: Give an example where indexing strategies would fail, and how you'd detect or fix it. â Variant: Short version: Give an example where indexing strategies would fail, and how you'd detect or fix it.","Give an example where indexing strategies would fail, and how you'd detect or fix it. â Variant: Short version: Give an example where indexing strategies would fail, and how you'd detect or fix it.",Database & SQL,Medium,medium,"Give an example where indexing strategies would fail, and how you'd detect or fix it. Variant: Short version: Give an example where indexing strategies would fail, and how you'd detect or fix it."
How do you evaluate the effectiveness of loss functions in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of loss functions in a real project?,Medium,Deep Learning,,,,,,Rephrase: How do you evaluate the effectiveness of loss functions in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of loss functions in a real project?,How do you evaluate the effectiveness of loss functions in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of loss functions in a real project?,Deep Learning,Medium,medium,How do you evaluate the effectiveness of loss functions in a real project? Variant:
Design a solution: Compare different approaches to leadership examples and justify which you'd pick for high throughput systems. â Variant: Another way to ask: Design a solution: Compare different approaches to leadership examples and justify which you'd pick for high throughput systems.,Hard,Behavioural,,,,,,Rephrase: Design a solution: Compare different approaches to leadership examples and justify which you'd pick for high throughput systems. â Variant: Another way to ask: Design a solution: Compare different approaches to leadership examples and justify which you'd pick for high throughput systems.,Design a solution: Compare different approaches to leadership examples and justify which you'd pick for high throughput systems. â Variant: Another way to ask: Design a solution: Compare different approaches to leadership examples and justify which you'd pick for high throughput systems.,Behavioural,Hard,hard,Design a solution: Compare different approaches to leadership examples and justify which you'd pick for high throughput systems. Variant:
Explain simply how you'd approach shortest path and explain your choices. Latency must stay below 200ms. â Variant: Rephrase: Explain simply how you'd approach shortest path and explain your choices. Latency must stay below 200ms.,Easy,Algorithms,,,,,,Alternate phrasing: Explain simply how you'd approach shortest path and explain your choices. Latency must stay below 200ms. â Variant: Rephrase: Explain simply how you'd approach shortest path and explain your choices. Latency must stay below 200ms.,Explain simply how you'd approach shortest path and explain your choices. Latency must stay below 200ms. â Variant: Rephrase: Explain simply how you'd approach shortest path and explain your choices. Latency must stay below 200ms.,Algorithms,Easy,easy,Explain simply how you'd approach shortest path and explain your choices. Latency must stay below 200ms. Variant: Rephrase: Explain simply how you'd approach shortest path and explain your choices. Latency must stay below 200ms.
Design a solution: Explain data wrangling tools and when you'd use it in production. â Variant: Alternate phrasing: Design a solution: Explain data wrangling tools and when you'd use it in production.,Hard,Data Science,,,,,,Another way to ask: Design a solution: Explain data wrangling tools and when you'd use it in production. â Variant: Alternate phrasing: Design a solution: Explain data wrangling tools and when you'd use it in production.,Design a solution: Explain data wrangling tools and when you'd use it in production. â Variant: Alternate phrasing: Design a solution: Explain data wrangling tools and when you'd use it in production.,Data Science,Hard,hard,Design a solution: Explain data wrangling tools and when you'd use it in production. Variant:
Design a solution: Explain the concept of load balancing with a short example. â Variant: Rephrase: Design a solution: Explain the concept of load balancing with a short example.,Hard,System Design,,,,,,Another way to ask: Design a solution: Explain the concept of load balancing with a short example. â Variant: Rephrase: Design a solution: Explain the concept of load balancing with a short example.,Design a solution: Explain the concept of load balancing with a short example. â Variant: Rephrase: Design a solution: Explain the concept of load balancing with a short example.,System Design,Hard,hard,Design a solution: Explain the concept of load balancing with a short example. Variant: Rephrase: Design a solution: Explain the concept of load balancing with a short example.
What are common pitfalls when implementing rate limiting and how do you mitigate them? â Variant: Short version: What are common pitfalls when implementing rate limiting and how do you mitigate them?,Medium,System Design,,,,,,Alternate phrasing: What are common pitfalls when implementing rate limiting and how do you mitigate them? â Variant: Short version: What are common pitfalls when implementing rate limiting and how do you mitigate them?,What are common pitfalls when implementing rate limiting and how do you mitigate them? â Variant: Short version: What are common pitfalls when implementing rate limiting and how do you mitigate them?,System Design,Medium,medium,What are common pitfalls when implementing rate limiting and how do you mitigate them? Variant: Short version: What are common pitfalls when implementing rate limiting and how do you mitigate them?
How do you evaluate the effectiveness of sampling strategies in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of sampling strategies in a real project?,Medium,Data Science,,,,,,Another way to ask: How do you evaluate the effectiveness of sampling strategies in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of sampling strategies in a real project?,How do you evaluate the effectiveness of sampling strategies in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of sampling strategies in a real project?,Data Science,Medium,medium,How do you evaluate the effectiveness of sampling strategies in a real project? Variant:
Explain the concept of infrastructure as code with a short example. â Variant: Another way to ask: Explain the concept of infrastructure as code with a short example.,Medium,Cloud & DevOps,,,,,,Short version: Explain the concept of infrastructure as code with a short example. â Variant: Another way to ask: Explain the concept of infrastructure as code with a short example.,Explain the concept of infrastructure as code with a short example. â Variant: Another way to ask: Explain the concept of infrastructure as code with a short example.,Cloud & DevOps,Medium,medium,Explain the concept of infrastructure as code with a short example. Variant:
Design a solution: How would you approach rate limiting for a large-scale system? â Variant: Rephrase: Design a solution: How would you approach rate limiting for a large-scale system?,Hard,Backend Development,,,,,,Describe: Design a solution: How would you approach rate limiting for a large-scale system? â Variant: Rephrase: Design a solution: How would you approach rate limiting for a large-scale system?,Design a solution: How would you approach rate limiting for a large-scale system? â Variant: Rephrase: Design a solution: How would you approach rate limiting for a large-scale system?,Backend Development,Hard,hard,Design a solution: How would you approach rate limiting for a large-scale system? Variant: Rephrase: Design a solution: How would you approach rate limiting for a large-scale system?
"How do you evaluate the effectiveness of security (xss, csrf) in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of security (xss, csrf) in a real project?",Medium,Web Development,,,,,,"Rephrase: How do you evaluate the effectiveness of security (xss, csrf) in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of security (xss, csrf) in a real project?","How do you evaluate the effectiveness of security (xss, csrf) in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of security (xss, csrf) in a real project?",Web Development,Medium,medium,"How do you evaluate the effectiveness of security (xss, csrf) in a real project? Variant: Rephrase: How do you evaluate the effectiveness of security (xss, csrf) in a real project?"
Explain simply how you'd approach situational judgement and explain your choices. â Variant: Another way to ask: Explain simply how you'd approach situational judgement and explain your choices.,Easy,Behavioural,,,,,,Rephrase: Explain simply how you'd approach situational judgement and explain your choices. â Variant: Another way to ask: Explain simply how you'd approach situational judgement and explain your choices.,Explain simply how you'd approach situational judgement and explain your choices. â Variant: Another way to ask: Explain simply how you'd approach situational judgement and explain your choices.,Behavioural,Easy,easy,Explain simply how you'd approach situational judgement and explain your choices. Variant:
"Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced. â Variant: Rephrase: Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced.",Medium,Database & SQL,,,,,,"Short version: Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced. â Variant: Rephrase: Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced.","Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced. â Variant: Rephrase: Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced.",Database & SQL,Medium,medium,"Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced. Variant: Rephrase: Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced."
Explain the concept of ci/cd pipelines with a short example. â Variant: Describe: Explain the concept of ci/cd pipelines with a short example.,Medium,Cloud & DevOps,,,,,,Alternate phrasing: Explain the concept of ci/cd pipelines with a short example. â Variant: Describe: Explain the concept of ci/cd pipelines with a short example.,Explain the concept of ci/cd pipelines with a short example. â Variant: Describe: Explain the concept of ci/cd pipelines with a short example.,Cloud & DevOps,Medium,medium,Explain the concept of ci/cd pipelines with a short example. Variant: Describe: Explain the concept of ci/cd pipelines with a short example.
Design a solution: Explain mentorship and when you'd use it in production. â Variant: Describe: Design a solution: Explain mentorship and when you'd use it in production.,Hard,Behavioural,,,,,,Rephrase: Design a solution: Explain mentorship and when you'd use it in production. â Variant: Describe: Design a solution: Explain mentorship and when you'd use it in production.,Design a solution: Explain mentorship and when you'd use it in production. â Variant: Describe: Design a solution: Explain mentorship and when you'd use it in production.,Behavioural,Hard,hard,Design a solution: Explain mentorship and when you'd use it in production. Variant: Describe: Design a solution: Explain mentorship and when you'd use it in production.
"Give an example where rest api design would fail, and how you'd detect or fix it. Latency must stay below 200ms. â Variant: Short version: Give an example where rest api design would fail, and how you'd detect or fix it. Latency must stay below 200ms.",Medium,Backend Development,,,,,,"Short version: Give an example where rest api design would fail, and how you'd detect or fix it. Latency must stay below 200ms. â Variant: Short version: Give an example where rest api design would fail, and how you'd detect or fix it. Latency must stay below 200ms.","Give an example where rest api design would fail, and how you'd detect or fix it. Latency must stay below 200ms. â Variant: Short version: Give an example where rest api design would fail, and how you'd detect or fix it. Latency must stay below 200ms.",Backend Development,Medium,medium,"Give an example where rest api design would fail, and how you'd detect or fix it. Latency must stay below 200ms. Variant: Short version: Give an example where rest api design would fail, and how you'd detect or fix it. Latency must stay below 200ms."
Explain simply how you'd approach roadmap prioritization and explain your choices. â Variant: Short version: Explain simply how you'd approach roadmap prioritization and explain your choices.,Easy,Behavioural,,,,,,Alternate phrasing: Explain simply how you'd approach roadmap prioritization and explain your choices. â Variant: Short version: Explain simply how you'd approach roadmap prioritization and explain your choices.,Explain simply how you'd approach roadmap prioritization and explain your choices. â Variant: Short version: Explain simply how you'd approach roadmap prioritization and explain your choices.,Behavioural,Easy,easy,Explain simply how you'd approach roadmap prioritization and explain your choices. Variant: Short version: Explain simply how you'd approach roadmap prioritization and explain your choices.
Design a solution: How would you approach multi-task learning for a large-scale system? â Variant: Another way to ask: Design a solution: How would you approach multi-task learning for a large-scale system?,Hard,Deep Learning,,,,,,Describe: Design a solution: How would you approach multi-task learning for a large-scale system? â Variant: Another way to ask: Design a solution: How would you approach multi-task learning for a large-scale system?,Design a solution: How would you approach multi-task learning for a large-scale system? â Variant: Another way to ask: Design a solution: How would you approach multi-task learning for a large-scale system?,Deep Learning,Hard,hard,Design a solution: How would you approach multi-task learning for a large-scale system? Variant:
Explain simply how you'd approach string algorithms and explain your choices. â Variant: Another way to ask: Explain simply how you'd approach string algorithms and explain your choices.,Easy,Algorithms,,,,,,Short version: Explain simply how you'd approach string algorithms and explain your choices. â Variant: Another way to ask: Explain simply how you'd approach string algorithms and explain your choices.,Explain simply how you'd approach string algorithms and explain your choices. â Variant: Another way to ask: Explain simply how you'd approach string algorithms and explain your choices.,Algorithms,Easy,easy,Explain simply how you'd approach string algorithms and explain your choices. Variant:
Design a solution: How do you evaluate the effectiveness of leadership examples in a real project? â Variant: Short version: Design a solution: How do you evaluate the effectiveness of leadership examples in a real project?,Hard,Behavioural,,,,,,Short version: Design a solution: How do you evaluate the effectiveness of leadership examples in a real project? â Variant: Short version: Design a solution: How do you evaluate the effectiveness of leadership examples in a real project?,Design a solution: How do you evaluate the effectiveness of leadership examples in a real project? â Variant: Short version: Design a solution: How do you evaluate the effectiveness of leadership examples in a real project?,Behavioural,Hard,hard,Design a solution: How do you evaluate the effectiveness of leadership examples in a real project? Variant: Short version: Design a solution: How do you evaluate the effectiveness of leadership examples in a real project?
Compare different approaches to rate limiting and justify which you'd pick for high throughput systems. â Variant: Alternate phrasing: Compare different approaches to rate limiting and justify which you'd pick for high throughput systems.,Medium,Backend Development,,,,,,Another way to ask: Compare different approaches to rate limiting and justify which you'd pick for high throughput systems. â Variant: Alternate phrasing: Compare different approaches to rate limiting and justify which you'd pick for high throughput systems.,Compare different approaches to rate limiting and justify which you'd pick for high throughput systems. â Variant: Alternate phrasing: Compare different approaches to rate limiting and justify which you'd pick for high throughput systems.,Backend Development,Medium,medium,Compare different approaches to rate limiting and justify which you'd pick for high throughput systems. Variant:
How do you evaluate the effectiveness of rnn and transformers in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of rnn and transformers in a real project?,Medium,Deep Learning,,,,,,Describe: How do you evaluate the effectiveness of rnn and transformers in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of rnn and transformers in a real project?,How do you evaluate the effectiveness of rnn and transformers in a real project? â Variant: Another way to ask: How do you evaluate the effectiveness of rnn and transformers in a real project?,Deep Learning,Medium,medium,How do you evaluate the effectiveness of rnn and transformers in a real project? Variant:
Compare different approaches to schema design and justify which you'd pick for high throughput systems. â Variant: Rephrase: Compare different approaches to schema design and justify which you'd pick for high throughput systems.,Medium,Backend Development,,,,,,Alternate phrasing: Compare different approaches to schema design and justify which you'd pick for high throughput systems. â Variant: Rephrase: Compare different approaches to schema design and justify which you'd pick for high throughput systems.,Compare different approaches to schema design and justify which you'd pick for high throughput systems. â Variant: Rephrase: Compare different approaches to schema design and justify which you'd pick for high throughput systems.,Backend Development,Medium,medium,Compare different approaches to schema design and justify which you'd pick for high throughput systems. Variant: Rephrase: Compare different approaches to schema design and justify which you'd pick for high throughput systems.
Explain the concept of statistical testing with a short example. â Variant: Short version: Explain the concept of statistical testing with a short example.,Medium,Data Science,,,,,,Another way to ask: Explain the concept of statistical testing with a short example. â Variant: Short version: Explain the concept of statistical testing with a short example.,Explain the concept of statistical testing with a short example. â Variant: Short version: Explain the concept of statistical testing with a short example.,Data Science,Medium,medium,Explain the concept of statistical testing with a short example. Variant: Short version: Explain the concept of statistical testing with a short example.
Design an architecture or algorithm to solve bias-variance tradeoff and explain your choices. â Variant: Short version: Design an architecture or algorithm to solve bias-variance tradeoff and explain your choices.,Medium,Machine Learning,,,,,,Alternate phrasing: Design an architecture or algorithm to solve bias-variance tradeoff and explain your choices. â Variant: Short version: Design an architecture or algorithm to solve bias-variance tradeoff and explain your choices.,Design an architecture or algorithm to solve bias-variance tradeoff and explain your choices. â Variant: Short version: Design an architecture or algorithm to solve bias-variance tradeoff and explain your choices.,Machine Learning,Medium,medium,Design an architecture or algorithm to solve bias-variance tradeoff and explain your choices. Variant: Short version: Design an architecture or algorithm to solve bias-variance tradeoff and explain your choices.
Explain the concept of caching layers with a short example. â Variant: Another way to ask: Explain the concept of caching layers with a short example.,Easy,System Design,,,,,,Short version: Explain the concept of caching layers with a short example. â Variant: Another way to ask: Explain the concept of caching layers with a short example.,Explain the concept of caching layers with a short example. â Variant: Another way to ask: Explain the concept of caching layers with a short example.,System Design,Easy,easy,Explain the concept of caching layers with a short example. Variant:
How do you evaluate the effectiveness of data modeling in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of data modeling in a real project?,Medium,Database & SQL,,,,,,Describe: How do you evaluate the effectiveness of data modeling in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of data modeling in a real project?,How do you evaluate the effectiveness of data modeling in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of data modeling in a real project?,Database & SQL,Medium,medium,How do you evaluate the effectiveness of data modeling in a real project? Variant: Rephrase: How do you evaluate the effectiveness of data modeling in a real project?
Explain api versioning and when you'd use it in production. â Variant: Short version: Explain api versioning and when you'd use it in production.,Medium,Backend Development,,,,,,Alternate phrasing: Explain api versioning and when you'd use it in production. â Variant: Short version: Explain api versioning and when you'd use it in production.,Explain api versioning and when you'd use it in production. â Variant: Short version: Explain api versioning and when you'd use it in production.,Backend Development,Medium,medium,Explain api versioning and when you'd use it in production. Variant: Short version: Explain api versioning and when you'd use it in production.
How do you evaluate the effectiveness of dynamic programming in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of dynamic programming in a real project?,Medium,Algorithms,,,,,,Another way to ask: How do you evaluate the effectiveness of dynamic programming in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of dynamic programming in a real project?,How do you evaluate the effectiveness of dynamic programming in a real project? â Variant: Rephrase: How do you evaluate the effectiveness of dynamic programming in a real project?,Algorithms,Medium,medium,How do you evaluate the effectiveness of dynamic programming in a real project? Variant: Rephrase: How do you evaluate the effectiveness of dynamic programming in a real project?
"Give an example where model interpretability would fail, and how you'd detect or fix it. â Variant: Short version: Give an example where model interpretability would fail, and how you'd detect or fix it.",Medium,Machine Learning,,,,,,"Alternate phrasing: Give an example where model interpretability would fail, and how you'd detect or fix it. â Variant: Short version: Give an example where model interpretability would fail, and how you'd detect or fix it.","Give an example where model interpretability would fail, and how you'd detect or fix it. â Variant: Short version: Give an example where model interpretability would fail, and how you'd detect or fix it.",Machine Learning,Medium,medium,"Give an example where model interpretability would fail, and how you'd detect or fix it. Variant: Short version: Give an example where model interpretability would fail, and how you'd detect or fix it."
What are common pitfalls when implementing greedy algorithms and how do you mitigate them? â Variant: Describe: What are common pitfalls when implementing greedy algorithms and how do you mitigate them?,Medium,Algorithms,,,,,,Rephrase: What are common pitfalls when implementing greedy algorithms and how do you mitigate them? â Variant: Describe: What are common pitfalls when implementing greedy algorithms and how do you mitigate them?,What are common pitfalls when implementing greedy algorithms and how do you mitigate them? â Variant: Describe: What are common pitfalls when implementing greedy algorithms and how do you mitigate them?,Algorithms,Medium,medium,What are common pitfalls when implementing greedy algorithms and how do you mitigate them? Variant: Describe: What are common pitfalls when implementing greedy algorithms and how do you mitigate them?
Design an architecture or algorithm to solve data modeling and explain your choices. â Variant: Alternate phrasing: Design an architecture or algorithm to solve data modeling and explain your choices.,Hard,Database & SQL,,,,,,Another way to ask: Design an architecture or algorithm to solve data modeling and explain your choices. â Variant: Alternate phrasing: Design an architecture or algorithm to solve data modeling and explain your choices.,Design an architecture or algorithm to solve data modeling and explain your choices. â Variant: Alternate phrasing: Design an architecture or algorithm to solve data modeling and explain your choices.,Database & SQL,Hard,hard,Design an architecture or algorithm to solve data modeling and explain your choices. Variant:
Compare different approaches to idempotency and justify which you'd pick for high throughput systems. Latency must stay below 200ms. â Variant: Describe: Compare different approaches to idempotency and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Medium,Backend Development,,,,,,Another way to ask: Compare different approaches to idempotency and justify which you'd pick for high throughput systems. Latency must stay below 200ms. â Variant: Describe: Compare different approaches to idempotency and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Compare different approaches to idempotency and justify which you'd pick for high throughput systems. Latency must stay below 200ms. â Variant: Describe: Compare different approaches to idempotency and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Backend Development,Medium,medium,Compare different approaches to idempotency and justify which you'd pick for high throughput systems. Latency must stay below 200ms. Variant: Describe: Compare different approaches to idempotency and justify which you'd pick for high throughput systems. Latency must stay below 200ms.
Describe the trade-offs involved in window functions. â Variant: Alternate phrasing: Describe the trade-offs involved in window functions.,Easy,Database & SQL,,,,,,Describe: Describe the trade-offs involved in window functions. â Variant: Alternate phrasing: Describe the trade-offs involved in window functions.,Describe the trade-offs involved in window functions. â Variant: Alternate phrasing: Describe the trade-offs involved in window functions.,Database & SQL,Easy,easy,Describe the trade-offs involved in window functions. Variant:
Compare different approaches to bias-variance tradeoff and justify which you'd pick for high throughput systems. â Variant: Alternate phrasing: Compare different approaches to bias-variance tradeoff and justify which you'd pick for high throughput systems.,Easy,Machine Learning,,,,,,Another way to ask: Compare different approaches to bias-variance tradeoff and justify which you'd pick for high throughput systems. â Variant: Alternate phrasing: Compare different approaches to bias-variance tradeoff and justify which you'd pick for high throughput systems.,Compare different approaches to bias-variance tradeoff and justify which you'd pick for high throughput systems. â Variant: Alternate phrasing: Compare different approaches to bias-variance tradeoff and justify which you'd pick for high throughput systems.,Machine Learning,Easy,easy,Compare different approaches to bias-variance tradeoff and justify which you'd pick for high throughput systems. Variant:
"Give an example where performance optimization would fail, and how you'd detect or fix it. â Variant: Another way to ask: Give an example where performance optimization would fail, and how you'd detect or fix it.",Medium,Web Development,,,,,,"Alternate phrasing: Give an example where performance optimization would fail, and how you'd detect or fix it. â Variant: Another way to ask: Give an example where performance optimization would fail, and how you'd detect or fix it.","Give an example where performance optimization would fail, and how you'd detect or fix it. â Variant: Another way to ask: Give an example where performance optimization would fail, and how you'd detect or fix it.",Web Development,Medium,medium,"Give an example where performance optimization would fail, and how you'd detect or fix it. Variant:"
Design an architecture or algorithm to solve replication and explain your choices. â Variant: Alternate phrasing: Design an architecture or algorithm to solve replication and explain your choices.,Medium,Database & SQL,,,,,,Short version: Design an architecture or algorithm to solve replication and explain your choices. â Variant: Alternate phrasing: Design an architecture or algorithm to solve replication and explain your choices.,Design an architecture or algorithm to solve replication and explain your choices. â Variant: Alternate phrasing: Design an architecture or algorithm to solve replication and explain your choices.,Database & SQL,Medium,medium,Design an architecture or algorithm to solve replication and explain your choices. Variant:
Design a solution: Compare different approaches to load balancing and justify which you'd pick for high throughput systems. â Variant: Describe: Design a solution: Compare different approaches to load balancing and justify which you'd pick for high throughput systems.,Hard,System Design,,,,,,Alternate phrasing: Design a solution: Compare different approaches to load balancing and justify which you'd pick for high throughput systems. â Variant: Describe: Design a solution: Compare different approaches to load balancing and justify which you'd pick for high throughput systems.,Design a solution: Compare different approaches to load balancing and justify which you'd pick for high throughput systems. â Variant: Describe: Design a solution: Compare different approaches to load balancing and justify which you'd pick for high throughput systems.,System Design,Hard,hard,Design a solution: Compare different approaches to load balancing and justify which you'd pick for high throughput systems. Variant: Describe: Design a solution: Compare different approaches to load balancing and justify which you'd pick for high throughput systems.
Explain the concept of sequence-to-sequence models with a short example. â Variant: Describe: Explain the concept of sequence-to-sequence models with a short example.,Medium,Deep Learning,,,,,,Another way to ask: Explain the concept of sequence-to-sequence models with a short example. â Variant: Describe: Explain the concept of sequence-to-sequence models with a short example.,Explain the concept of sequence-to-sequence models with a short example. â Variant: Describe: Explain the concept of sequence-to-sequence models with a short example.,Deep Learning,Medium,medium,Explain the concept of sequence-to-sequence models with a short example. Variant: Describe: Explain the concept of sequence-to-sequence models with a short example.
How do you evaluate the effectiveness of authentication in a real project? â Variant: Short version: How do you evaluate the effectiveness of authentication in a real project?,Medium,Backend Development,,,,,,Another way to ask: How do you evaluate the effectiveness of authentication in a real project? â Variant: Short version: How do you evaluate the effectiveness of authentication in a real project?,How do you evaluate the effectiveness of authentication in a real project? â Variant: Short version: How do you evaluate the effectiveness of authentication in a real project?,Backend Development,Medium,medium,How do you evaluate the effectiveness of authentication in a real project? Variant: Short version: How do you evaluate the effectiveness of authentication in a real project?
Explain simply how you'd approach infrastructure as code and explain your choices. Assume 1M daily users. â Variant: Short version: Explain simply how you'd approach infrastructure as code and explain your choices. Assume 1M daily users.,Easy,Cloud & DevOps,,,,,,Rephrase: Explain simply how you'd approach infrastructure as code and explain your choices. Assume 1M daily users. â Variant: Short version: Explain simply how you'd approach infrastructure as code and explain your choices. Assume 1M daily users.,Explain simply how you'd approach infrastructure as code and explain your choices. Assume 1M daily users. â Variant: Short version: Explain simply how you'd approach infrastructure as code and explain your choices. Assume 1M daily users.,Cloud & DevOps,Easy,easy,Explain simply how you'd approach infrastructure as code and explain your choices. Assume 1M daily users. Variant: Short version: Explain simply how you'd approach infrastructure as code and explain your choices. Assume 1M daily users.
Compare different approaches to data cleaning and justify which you'd pick for high throughput systems. â Variant: Another way to ask: Compare different approaches to data cleaning and justify which you'd pick for high throughput systems.,Easy,Data Science,,,,,,Describe: Compare different approaches to data cleaning and justify which you'd pick for high throughput systems. â Variant: Another way to ask: Compare different approaches to data cleaning and justify which you'd pick for high throughput systems.,Compare different approaches to data cleaning and justify which you'd pick for high throughput systems. â Variant: Another way to ask: Compare different approaches to data cleaning and justify which you'd pick for high throughput systems.,Data Science,Easy,easy,Compare different approaches to data cleaning and justify which you'd pick for high throughput systems. Variant:
Walk me through how you'd implement indexing strategies from scratch. Dataset is highly imbalanced. â Variant: Alternate phrasing: Walk me through how you'd implement indexing strategies from scratch. Dataset is highly imbalanced.,Medium,Database & SQL,,,,,,Describe: Walk me through how you'd implement indexing strategies from scratch. Dataset is highly imbalanced. â Variant: Alternate phrasing: Walk me through how you'd implement indexing strategies from scratch. Dataset is highly imbalanced.,Walk me through how you'd implement indexing strategies from scratch. Dataset is highly imbalanced. â Variant: Alternate phrasing: Walk me through how you'd implement indexing strategies from scratch. Dataset is highly imbalanced.,Database & SQL,Medium,medium,Walk me through how you'd implement indexing strategies from scratch. Dataset is highly imbalanced. Variant:
What are common pitfalls when implementing sharding strategies and how do you mitigate them? Requires cross-region fault tolerance. â Variant: Rephrase: What are common pitfalls when implementing sharding strategies and how do you mitigate them? Requires cross-region fault tolerance.,Medium,System Design,,,,,,Rephrase: What are common pitfalls when implementing sharding strategies and how do you mitigate them? Requires cross-region fault tolerance. â Variant: Rephrase: What are common pitfalls when implementing sharding strategies and how do you mitigate them? Requires cross-region fault tolerance.,What are common pitfalls when implementing sharding strategies and how do you mitigate them? Requires cross-region fault tolerance. â Variant: Rephrase: What are common pitfalls when implementing sharding strategies and how do you mitigate them? Requires cross-region fault tolerance.,System Design,Medium,medium,What are common pitfalls when implementing sharding strategies and how do you mitigate them? Requires cross-region fault tolerance. Variant: Rephrase: What are common pitfalls when implementing sharding strategies and how do you mitigate them? Requires cross-region fault tolerance.
Design a solution: Describe the trade-offs involved in graph algorithms. â Variant: Short version: Design a solution: Describe the trade-offs involved in graph algorithms.,Hard,Algorithms,,,,,,Describe: Design a solution: Describe the trade-offs involved in graph algorithms. â Variant: Short version: Design a solution: Describe the trade-offs involved in graph algorithms.,Design a solution: Describe the trade-offs involved in graph algorithms. â Variant: Short version: Design a solution: Describe the trade-offs involved in graph algorithms.,Algorithms,Hard,hard,Design a solution: Describe the trade-offs involved in graph algorithms. Variant: Short version: Design a solution: Describe the trade-offs involved in graph algorithms.
Explain the concept of data ethics with a short example. â Variant: Short version: Explain the concept of data ethics with a short example.,Medium,Data Science,,,,,,Describe: Explain the concept of data ethics with a short example. â Variant: Short version: Explain the concept of data ethics with a short example.,Explain the concept of data ethics with a short example. â Variant: Short version: Explain the concept of data ethics with a short example.,Data Science,Medium,medium,Explain the concept of data ethics with a short example. Variant: Short version: Explain the concept of data ethics with a short example.
Design a solution: Explain progressive web apps and when you'd use it in production. â Variant: Describe: Design a solution: Explain progressive web apps and when you'd use it in production.,Hard,Web Development,,,,,,Another way to ask: Design a solution: Explain progressive web apps and when you'd use it in production. â Variant: Describe: Design a solution: Explain progressive web apps and when you'd use it in production.,Design a solution: Explain progressive web apps and when you'd use it in production. â Variant: Describe: Design a solution: Explain progressive web apps and when you'd use it in production.,Web Development,Hard,hard,Design a solution: Explain progressive web apps and when you'd use it in production. Variant: Describe: Design a solution: Explain progressive web apps and when you'd use it in production.
What are common pitfalls when implementing data wrangling tools and how do you mitigate them? â Variant: Rephrase: What are common pitfalls when implementing data wrangling tools and how do you mitigate them?,Easy,Data Science,,,,,,Another way to ask: What are common pitfalls when implementing data wrangling tools and how do you mitigate them? â Variant: Rephrase: What are common pitfalls when implementing data wrangling tools and how do you mitigate them?,What are common pitfalls when implementing data wrangling tools and how do you mitigate them? â Variant: Rephrase: What are common pitfalls when implementing data wrangling tools and how do you mitigate them?,Data Science,Easy,easy,What are common pitfalls when implementing data wrangling tools and how do you mitigate them? Variant: Rephrase: What are common pitfalls when implementing data wrangling tools and how do you mitigate them?
